Topic ID  ,ViewsInKs,Views  
sf_bi,12.6K,"12,584"
sf_setting_up_email_to_case,12.6K,"12,562"
sf_notes_on_entering_filter_criteria,12.6K,"12,556"
sf_editing_picklists_for_record_types_and_business_processes,12.5K,"12,548"
sf_mc_co_marketing_cloud_connect,12.5K,"12,525"
sf_platform_connect_about,12.5K,"12,521"
sf_admin_currency,12.5K,"12,513"
sf_domain_name_enhanced_timeline,12.5K,"12,478"
sf_events_and_calendars,12.5K,"12,462"
sf_how_to_deactivate_users,12.4K,"12,424"
sf_email_int_features,12.4K,"12,381"
sf_outlookcrm_sync_events,12.3K,"12,313"
sf_notes_admin_overview,12.3K,"12,297"
sf_security_ll_enable,12.3K,"12,283"
sf_controlling_login_access,12.3K,"12,257"
sf_opp_fields,12.2K,"12,243"
sf_reports_build_lex,12.2K,"12,190"
sf_emailadmin_monitor_emails_sent_from_salesforce,12.1K,"12,124"
sf_support_email_to_case_threading,12.1K,"12,068"
sf_creating_record_types,12.0K,"12,019"
sf_perm_sets_object_perms_edit,12.0K,"11,987"
sf_changesets_about_components,12.0K,"11,986"
sf_security_controlling_access_using_hierarchies,12.0K,"11,963"
sf_code_schedule_batch_apex,12.0K,"11,962"
sf_code_viewing_log_details,12.0K,"11,952"
sf_aac_configure,11.9K,"11,943"
sf_filter_operators,11.9K,"11,925"
sf_permissions_tab_settings_ref,11.9K,"11,919"
sf_users_license_types_chatter,11.9K,"11,914"
sf_email_int_overview,11.9K,"11,909"
sf_creating_custom_object_tabs,11.9K,"11,903"
sf_flow_concepts_type,11.9K,"11,901"
sf_data_about_analytic_snap,11.9K,"11,896"
sf_networks_create_external_users,11.8K,"11,787"
sf_reports_builder_fields_summaries,11.8K,"11,761"
sf_get_tbid_support,11.7K,"11,734"
sf_users_profiles_object_perms,11.7K,"11,726"
sf_cl_about,11.7K,"11,724"
sf_domain_name_deploy_update_test,11.7K,"11,708"
sf_editing_users,11.7K,"11,680"
sf_domain_name_guidelines,11.7K,"11,665"
sf_admin_massdelete,11.6K,"11,566"
sf_fields_rich_text_area_limitations,11.6K,"11,563"
sf_admin_state_country_picklists_standard_countries,11.6K,"11,555"
sf_fields_defining_field_dependencies,11.5K,"11,503"
sf_collab_files_attach_records,11.5K,"11,477"
sf_bi_limits,11.5K,"11,452"
sf_mc_as_data_view_sms_message_tracking,11.4K,"11,441"
sf_duplicate_management_custom_report_types,11.4K,"11,394"
sf_tips_for_using_hyperlink_formula_fields,11.4K,"11,393"
sf_flow_ref_elements_data_get,11.4K,"11,365"
release_notes_rn_included_release_notes,11.3K,"11,305"
sf_orgwide_email,11.3K,"11,286"
sf_users_license_types_view,11.3K,"11,279"
sf_mc_as_data_view_bounce,11.3K,"11,277"
sf_workflow_rules_new,11.2K,"11,231"
sf_reports_report_type_objects,11.2K,"11,205"
release_notes_rn_forcecom_development,11.2K,"11,202"
sf_salesforce_app_requirements,11.2K,"11,201"
sf_email_template_builder_parent,11.2K,"11,189"
sf_flow_ref_elements_actions_sendcustomnotification,11.2K,"11,162"
sf_flow_concepts_trigger_record,11.1K,"11,144"
sf_sso_provider_azure,11.1K,"11,137"
sf_service_cloud,11.1K,"11,119"
release_notes_rn_general,11.1K,"11,114"
sf_mc_as_data_view_click,11.1K,"11,099"
sf_picklist_limitations,11.1K,"11,078"
sf_domain_name_enhanced_why,11.1K,"11,070"
sf_bi_integrate_recipe_stringFunctions,11.0K,"11,046"
sf_custom_perms_overview,11.0K,"11,025"
sf_customizesupport_configuring_routing_addresses,11.0K,"11,004"
release_notes_rn_feature_impact,11.0K,"11,000"
sf_emailadmin_deliverability,11.0K,"10,999"
sf_reports_subscribe_lex,11.0K,"10,991"
